date,amount,direction,counterparty,counterparty_iban,description,reference,account_iban
2024-08-19,11602.68,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1001,EK-2024-1001,DE89370400440532013000
2024-08-19,11426.99,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2024-1001,RE-2024-1001,DE89370400440532013000
2024-08-20,15596.03,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1002,EK-2024-1002,DE89370400440532013000
2024-08-20,16043.24,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2024-1002,RE-2024-1002,DE89370400440532013000
2024-08-21,9601.54,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1003,EK-2024-1003,DE89370400440532013000
2024-08-21,13878.36,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2024-1003,RE-2024-1003,DE89370400440532013000
2024-08-26,11581.70,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1004,EK-2024-1004,DE89370400440532013000
2024-08-26,11729.79,credit,Smith Corp,DE44500105175407324931,Payment RE-2024-1004,RE-2024-1004,DE89370400440532013000
2024-08-27,14177.44,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1005,EK-2024-1005,DE89370400440532013000
2024-08-27,14733.67,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2024-1005,RE-2024-1005,DE89370400440532013000
2024-08-28,8779.72,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1006,EK-2024-1006,DE89370400440532013000
2024-08-28,12344.25,credit,Little & Partners,DE26200400600087654300,Payment RE-2024-1006,RE-2024-1006,DE89370400440532013000
2024-09-02,16019.90,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1007,EK-2024-1007,DE89370400440532013000
2024-09-02,12000.00,debit,Salaries September,DE62370400440532013001,Wages and salaries September 2024,LG-2024-09,DE89370400440532013000
2024-09-02,13209.71,credit,Hoffman Trading Co,DE79345678901234567890,Payment RE-2024-1007,RE-2024-1007,DE89370400440532013000
2024-09-03,9140.94,debit,Miller Office,DE32700100800012345000,Payment EK-2024-1008,EK-2024-1008,DE89370400440532013000
2024-09-03,15336.49,credit,Nordwind Maritime GmbH,DE94200505500000778899,Payment RE-2024-1008,RE-2024-1008,DE89370400440532013000
2024-09-03,950.00,debit,Telecom Business Customers,DE20200700240012345601,Telecommunications September,T-2024-09,DE89370400440532013000
2024-09-04,11392.11,debit,Berlin City Utilities,DE58200400600971586400,Payment EK-2024-1009,EK-2024-1009,DE89370400440532013000
2024-09-04,12524.53,credit,Weaver Consulting,DE78200400600012312300,Payment RE-2024-1009,RE-2024-1009,DE89370400440532013000
2024-09-09,11034.52,debit,Hoffman Printing,DE03200400600022222200,Payment EK-2024-1010,EK-2024-1010,DE89370400440532013000
2024-09-09,17825.68,credit,Smith Corp,DE44500105175407324931,Payment RE-2024-1010,RE-2024-1010,DE89370400440532013000
2024-09-10,12871.41,debit,TechParts Inc,DE02120300000000202051,Payment EK-2024-1011,EK-2024-1011,DE89370400440532013000
2024-09-10,9977.13,credit,Brewer & Sons Ltd,DE62200700240000279500,Payment RE-2024-1011,RE-2024-1011,DE89370400440532013000
2024-09-10,3200.00,debit,Berlin City Utilities,DE58200400600971586400,Electricity August 2024,RG-STW-082024,DE89370400440532013000
2024-09-11,14727.63,debit,Logistics Express Ltd,DE80200400600004444400,Payment EK-2024-1012,EK-2024-1012,DE89370400440532013000
